***********************************************************************************************************************
*First Data line should contain the following...
*Blk X Scale <> Blk Y Scale  <> Text Rotation  <> Text Size 
***********************************************************************************************************************
*1					1            45               2.5
***********************************************************************************************************************
*Field data starts here
************************************************************************************************************
*NORTHING       EASTING              GIRTH
*************************************FIELD BOOK NO 800-8 ***************************************************
34673.070       24582.306      
34601.617       24723.649            g=2.5
34611.820       24711.021            g=3.0
34662.997       24655.858      
34655.949       24660.164            g=2.1
34649.749       24668.779      
34625.951       24664.900            g=3.9
34538.046       24816.473      
34296.548       25040.081            g=3.0
34306.255       25029.859            g=3.2
34316.129       25016.933            g=6.0
34336.576       24995.362            g=3.1
34346.984       24982.217            g=1.8
34361.334       24965.992            g=4.0
34370.295       24956.505            g=3.5
34392.942       24928.787            g=2.5
34407.658       24917.696            g=2.5
34412.839       24906.576            g=3.7
34427.907       24891.647            g=2.8
34466.310       24849.693            g=2.9
34478.453       24837.845            g=2.3
34486.744       24829.285            g=3.9
34398.655       24948.459            g=6.0
34391.001       24959.76             g=4.5
34335.074       25024.199            g=3.0
34325.103       25036.625            g=2.6
*************************************FIELD BOOK NO 800-24 **********************************
34191.148       25167.728            g=2.6
34196.359       25160.021            g=1.8
34209.659       25144.461            g=2.0
34268.631       25102.759            g=2.7
34286.817       25082.489            g=4.5
34256.234       25091.395            g=2.3
34264.613       25079.746            g=2.1
34279.563       25062.090            g=2.7
34286.673       25052.350            g=3.5
*************************************FIELD BOOK NO 605-25 ********************************************
34187.605       25209.109            g=7.2
34160.559       25233.732            g=2.1
34141.952       25256.151            g=7.3
34175.990       25187.600            g=3.7
34167.251       25194.791            g=3.6
34154.656       25207.033      
34154.262       25201.918      
34148.661       25209.066      
34118.293       25256.252            g=6.1
34110.128       25266.677            g=4.7
34003.608       25409.016            g=4.5
34049.156       25387.766            
34055.302       25342.292            g=2.5
34067.787       25371.569      
34072.873       25365.781      
34084.512       25342.242            g=3.7
34071.744       25317.140            g=5.4
34080.532       25303.368            g=2.8
34093.342       25291.226            g=3.1
34114.081       25299.193      
34007.257       25455.196      
33921.432       25518.036      
33918.001       25509.784      
33816.801       25660.875            g=2.3
33841.046       25627.248            g=2.3
33782.981       25733.980      
33723.167       25811.868            g=5.0
33721.697       25790.214            g=3.4
33792.441       25718.756            g=3.4
33812.130       25691.854      
33823.526       25676.930            g=2.5
33830.473       25667.996            g=2.7
33704.580       25386.598      
33697.364       25844.319            g=2.4
33695.961       25966.283            g=2.2
33701.750       25816.520            g=2.1
33662.953       25861.814            g=2.0
33648.464       25880.800      
33627.378       25911.835            g=3.4
33641.953       25919.540      
33625.962       25919.199            g=2.4
33676.130       25875.266            g=2.3
33675.332       25887.425      
33670.533       25895.671      
33666.011       25905.998      
*************************************FIELD BOOK NO 600-26 ***************************************
33680.093       25868.722            g=4.3
33629.779       25946.894      
33635.073       25949.441      
33591.935       25959.067      
33617.318       25981.384      
33616.137       25972.610      
33603.696       25999.988      
33623.753       25973.625      
33580.667       26041.670      
33574.672       26054.101      
33564.537       26071.515      
33506.406       26096.476            g=3.2
33517.385       26082.857      
33497.063       26107.312            g=3.3
33487.310       26119.963            g=5.6
33477.219       26132.593            g=3.3
33527.749       26071.016            g=2.8
33537.820       26058.568            g=1.8
33531.258       26043.038            g=2.8
33568.194       25994.860            g=2.2
33577.412       25982.350      
33510.372       26168.238      
33505.862       26172.476      
33501.158       26198.263      
33497.825       26195.930      
33483.723       26222.136      
33476.773       26225.512      
33497.305       26147.542      
33483.863       26160.629      
33474.150       26188.360      
33462.574       26202.543      
33464.255       26208.208      
33491.283       26236.111      
33472.017       26242.983      
33470.452       26246.095      
33642.220       26275.993      
33470.764       26281.253      
33429.120       26273.744      
33435.796       26301.435      
33399.508       26325.259      
33329.824       26504.772      
33332.601       26525.342            g=2.1
33315.558       26518.573      
33314.118       26536.304      
33313.527       26460.344            g=5.6
33337.143       26413.037            g=2.7
33324.952       26400.518            g=7.2
33361.068       26394.370      
33301.205       26502.926      
*************************************FIELD BOOK NO 605-27 ***********************************
33265.096       26631.233            g=3.1
33255.901       26646.511            g=6.0
33246.147       26664.283            g=5.3
33218.318       26700.440            g=3.7
33193.766       26750.906      
33182.204       26781.617      
33157.731       26580.715            g=3.8
33171.648       26780.297            g=17.9
33142.910       26827.550            g=2.7
33121.601       26801.711      
33000.813       27051.266            g=2.2
33032.693       26994.418            g=2.5
33055.575       26952.659            g=3.1
33068.420       26929.812      
33078.918       26910.508            g=2.6
33094.501       26882.310            g=3.2
33103.382       26868.153            g=4.3
33110.324       26854.823            g=4.9
33126.051       26828.305            g=4.2
33119.877       26869.590            g=4.5
33079.465       26941.549            g=3.8
33068.597       26961.165            g=3.2
33047.918       26997.326            g=2.2
33031.724       27024.996            g=8.3
