***********************************************************************************************************************
*First Data line should contain the following...
*Blk X Scale <> Blk Y Scale  <> Text Rotation  <> Text Size 
***********************************************************************************************************************
*1					1            45               2.5
***********************************************************************************************************************
*Field data starts here
***********************************************************************************************************************
*NORTHING       EASTING         R.L.            GIRTH
************************************************FIELD BOOK NO 800-8 ***************************************************
38637.710       19172.024       420.318         g=2.8
************************************************FIELD BOOK NO-800-16 *************************************************************
38569.144       19201.473       421.626
38499.955       19269.128       421.028         g=2.5
38487.857       19269.823       420.752         g=2.6
38489.394       19280.931       420.724
38496.527       19305.973       418.770
38528.247       19272.100       420.432
38526.535       19267.547       421.319         g=3.7
38557.936       19231.766       422.320         g=2.0
38580.375       19242.070       420.043         g=2.0
38582.491       19219.662       420.866         g=1.9
38405.574       19359.778       420.910
38387.433       19365.421       419.982
38386.681       19378.631       421.640
38372.031       19395.580       423.477
38360.898       19406.381       423.876
38338.164       19428.009       424.029         g=2.3
38332.647       19430.133       423.788
38307.149       19444.297       423.715         g=3.1
38297.853       19467.355       423.707
38271.715       19490.438       422.550
38307.046       19478.757       423.268         g=1.6
38318.609       19468.750       423.866         g=2.5
38351.491       19436.475       423.703         g=2.6
38408.918       19413.132       421.822         g=2.0
38265.422       19499.584       422.692
38293.683       19502.365       420.806         g=2.5
38225.000       19534.983       421.554         g=5.0
38247.640       19502.574       421.304
38207.362       19553.470       423.126
38231.959       19550.234       422.125
38178.661       19557.402       423.490         g=2.2
38166.807       19589.647       424.931         g=1.9
38254.456       19600.222       425.547         g=2.2
38181.265       19596.952       424.881         g=2.3
38124.350       19641.862       425.358
38082.921       19685.970       423.973         g=2.2
38047.683       19725.164       422.127
38007.468       19768.476       421.510
38023.894       19767.520       421.925
38037.697       19736.380       422.424
38040.388       19733.473       422.596
38996.683       19733.102       423.216         g=2.2
38020.946       19700.970       422.308
38032.896       19703.809       422.185
38050.889       19689.668       423.154         g=2.3
************************************************FIELD BOOK NO-800-17 *************************************************************
37983.960       19780.541       421.607         g=2.6
37989.010       19782.020       421.447
37997.205       19764.391       422.306
37959.745       19780.246       423.118         g=2.2
37929.361       19811.699       423.394         g=2.1
37819.961       19947.996       421.632
37894.919       19849.313       425.677         g=2.9
37794.703       19970.825       423.506
37757.147       19987.799       423.844         g=1.9
37757.147       19987.799       424.879         g=2.3
37730.729       20042.711       423.727
37716.711       20091.506       421.297
37707.495       20094.772       420.567
37694.990       20109.012       420.301
37688.041       20085.432       420.831
37673.064       20076.890       422.247         g=2.1
37660.981       20110.973       422.055         g=2.4
37650.399       20122.580       421.939         g=2.4
37636.138       20137.650       421.240         g=2.5
37642.388       20110.763       422.460
37625.418       20148.834       420.815         g=2.2
37600.607       20173.525       421.997
37602.651       20151.725       421.688         g=2.1
